0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:46:54 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:47:28 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:47:28 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:48:05 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:48:05 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:48:12 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:48:56 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:06 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:06 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/images/icons/user-circle-rose-white.png HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:50 +0900] "GET /Bark/css/home.css HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/images/icons/user-circle-rose-white.png HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/css/home.css HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:51 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:55 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 777
